year,iso3c,employed,total_hours
2006,CAN,16672890,29088551000
2006,CRI,1772217,4192380000
2006,CZE,4988977,8925768000
2006,DNK,2845937,4142840000
2006,EST,642200,1285036000
2006,FIN,2464400,4095200000
2006,DEU,39608000,57527471000
2006,GRC,4742951,10190830000
2006,IRL,2128249,3809836000
2006,ISR,2960917.4,5759002000
2006,ITA,24788700,44151296000
2006,JPN,65989000,NA
2006,LVA,1024944.9999999999,2143518000
2006,LTU,1420030,2694363000
2006,LUX,319273,500338000
2006,MEX,43047392,97785268000
2006,NLD,8527000,12283167000
2006,NOR,2396000,3417000000
2006,POL,14503900,30176517000
2006,PRT,5060864,9546496000
2006,SVK,2132387,3783828000
2006,SVN,944458,1574799000
2006,ESP,20627100,35211548000
2006,SWE,4484700,7175160000
2006,CHE,4234932.106000001,7111458000
2006,GBR,29140451,48565806000
2006,USA,146678000,257068000000
2006,BRA,93049796.354,NA
2006,BGR,3612042,5974685000
2006,HRV,1661877,3203550000
2006,CYP,373251,684138000
2006,MLT,153510,333848000
2006,MKD,614584,NA
2006,ROU,9353270,17173356000
2006,ZAF,13418807.23,NA
2007,AUT,4013260,6915056000
2007,CAN,17006560,29676570000
2007,CRI,1870739,4475883000
2007,CZE,5093143,9038690000
2007,DNK,2912410,4172813000
2007,EST,643400,1285825000
2007,FIN,2518900,4176399999.9999995
2007,DEU,40281000,58562791000
2007,GRC,4806731,10270706000
2007,IRL,2218601,3915537000
2007,ISR,3090966.9469999997,6051745000
2007,ITA,25102200,44837910000
2007,JPN,66513000,NA
2007,LVA,1064074,2182306000
2007,LTU,1448962,2792975000
2007,LUX,333255,526874000
2007,MEX,43903058,98877488000
2007,NLD,8777000,12634571000
2007,NOR,2490000,3581000000
2007,POL,15155900,31488117000
2007,PRT,5061579,9634638000
2007,SVK,2176968,3899391000
2007,SVN,976107,1615361000
2007,ESP,21296700,36095061000
2007,SWE,4588000,7398490000
2007,CHE,4344274.416,7250022000
2007,GBR,29378747,49025091000
2007,USA,148295000,258275000000
2007,BRA,94551693.678,NA
2007,BGR,3726742,6165971000
2007,HRV,1712883,3305289000
2007,CYP,389777,725794000
2007,MLT,156945,340662000
2007,MKD,632900,NA
2007,ROU,9488430,17458094000
2007,ZAF,13467260.83,NA
2008,AUT,4089451,7018097000
2008,CAN,17249955,30041189000
2008,CRI,1895330,4544780000
2008,CZE,5204079,9311575000
2008,DNK,2948868,4216786000
2008,EST,642100,1263505000
2008,FIN,2575100,4258700000
2008,DEU,40851000,59107021000
2008,GRC,4867126,10336126000
2008,IRL,2196670,3801389000
2008,ISR,3208376.335,6274515000
2008,ITA,25158300,44665457000
2008,JPN,66411000,NA
2008,LVA,1055068,2112513000
2008,LTU,1429997,2804311000
2008,LUX,349058,551943000
2008,MEX,43797595,98807620000
2008,NLD,8919000,12834608000
2008,NOR,2570000,3708000000
2008,POL,15731900,32558740000
2008,PRT,5080126,9603284000
2008,SVK,2247139,4029924000
2008,SVN,1000516,1674345000
2008,ESP,21312200,36338856000
2008,SWE,4611100,7500610000
2008,CHE,4448263.022,7381705000
2008,GBR,29627564,48798582000
2008,USA,147643000,255571000000
2008,BRA,95720196.094,NA
2008,BGR,3814647,6460476000
2008,HRV,1747905,3375520000
2008,CYP,403512,753643000
2008,MLT,160939,351504000
2008,MKD,682960,NA
2008,ROU,9359130,17176308000
2008,ZAF,14584861.037,NA
2009,AUT,4067494,6790828000
2009,CAN,16999685,29066585000
2009,CRI,1860854,4380903000
2009,CZE,5110100,9092566000
2009,DNK,2856328,4047044000
2009,EST,576600,1056412000
2009,FIN,2509800,4097300000
2009,DEU,40903000,57541115000
2009,GRC,4835998,10148379000
2009,ISR,3264856.4839999997,6386144000
2009,ITA,24736500,43104919000
2009,JPN,65646000,NA
2009,LVA,903723,1764264000
2009,LTU,1320688,2496693000
2009,LUX,352518,535145999.99999994
2009,MEX,44347016,99567916000
2009,NLD,8840000,12646511000
2009,NZL,2135800,NA
2009,NOR,2559000,3639000000
2009,POL,15789400,32431428000
2009,PRT,4941686,9343718000
2009,SVK,2203158,3922370000
2009,SVN,984120,1652349000
